Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR628588,2013-01-09 00:00:00,2012-12-12 16:53:46,13270990,2680739980,13270990,202,1651,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/628/SRR628588/SRR628588.sralite.1,SRX208481,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017413,PRJNA182344,,182344,SRS378359,SAMN01820447,simple,9606,Homo sapiens,MM132T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062359,,public,320F0167B73B9FD59AC1F1804E88C129,4F38949B112B80A0D974227DB48ED46D
SRR628589,2013-01-09 00:00:00,2012-12-12 17:02:22,18125870,3661425740,18125870,202,2261,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/628/SRR628589/SRR628589.sralite.1,SRX208482,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017413,PRJNA182344,,182344,SRS378360,SAMN01820456,simple,9606,Homo sapiens,MM176T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062359,,public,07A77442736AFD2DF9A17A80492E884E,566679CC871F7BFC95A3177C63D8FB51
SRR636532,2013-01-09 00:00:00,2012-12-22 18:35:30,12121970,2448637940,12121970,202,1693,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636532/SRR636532.sralite.1,SRX209085,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378356,SAMN01821227,simple,9606,Homo sapiens,MM016T,,,,,,,no,,,,Eye,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,F9413DE08566A4096EA8B65EC1930F49,8D0CE622439AF11BB722A4D3A7400EB2
SRR636531,2013-01-09 00:00:00,2012-12-19 04:33:49,37050135,7484127270,37050135,202,5150,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636531/SRR636531.sralite.1,SRX209088,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378243,SAMN01821228,simple,9606,Homo sapiens,MM065T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,764859D656D035757D25EC5F514F56D9,B32F9593F539AC52E3D7EDBC4599D538
SRR636533,2013-01-09 00:00:00,2012-12-22 18:46:45,39463429,7971612658,39463429,202,5552,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636533/SRR636533.sralite.1,SRX209089,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378358,SAMN01821229,simple,9606,Homo sapiens,MM089T,,,,,,,no,,,,Eye,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,21D68EBF9BE8CFC42660ACAD6C18F3CF,DB5B26125D78BFEA919914974F7DFFB2
SRR628585,2013-01-09 00:00:00,2012-12-12 17:09:14,15142560,3058797120,15142560,202,1881,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/628/SRR628585/SRR628585.sralite.1,SRX208478,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017413,PRJNA182344,,182344,SRS378356,SAMN01821227,simple,9606,Homo sapiens,MM016T,,,,,,,no,,,,Eye,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062359,,public,9E31845960E0E675FD7EE69821D1475C,5B2632E51781094F592D4220E4AC2905
SRR628584,2013-01-09 00:00:00,2012-12-12 16:49:07,10574840,2136117680,10574840,202,1320,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/628/SRR628584/SRR628584.sralite.1,SRX208365,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017413,PRJNA182344,,182344,SRS378244,SAMN01820431,simple,9606,Homo sapiens,MM064T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062359,,public,0DB34A09319EEC4C98F7FDEF3834C5AD,BDF18247AC80CCB37DDA5781B78FEDD7
SRR628583,2013-01-09 00:00:00,2012-12-12 16:50:04,17657635,3566842270,17657635,202,2201,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/628/SRR628583/SRR628583.sralite.1,SRX208364,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017413,PRJNA182344,,182344,SRS378243,SAMN01821228,simple,9606,Homo sapiens,MM065T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062359,,public,88E6F0C8A3ED2D215E9598A18A3216AA,49449CB5CC0DC0790959FFAA67D89AE1
SRR628586,2013-01-09 00:00:00,2012-12-12 16:52:09,10714080,2164244160,10714080,202,1346,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/628/SRR628586/SRR628586.sralite.1,SRX208479,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017413,PRJNA182344,,182344,SRS378357,SAMN01820439,simple,9606,Homo sapiens,MM082T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062359,,public,2B78278CE932771C78B593EBBF7914A2,2B6D3E0AF33DB1EDB178DFDE52958210
SRR628587,2013-01-09 00:00:00,2012-12-12 17:06:08,17265483,3487627566,17265483,202,2159,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/628/SRR628587/SRR628587.sralite.1,SRX208480,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017413,PRJNA182344,,182344,SRS378358,SAMN01821229,simple,9606,Homo sapiens,MM089T,,,,,,,no,,,,Eye,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062359,,public,1C049F55956946FA344CC65EE1B74116,577EE63C5DECC25063A396D68DDA556E
