Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR636564,2013-01-09 00:00:00,2012-12-22 18:39:00,34893676,7048522552,34893676,202,4668,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR000/636/SRR636564.sralite.1,SRX209098,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378954,SAMN01820441,simple,9606,Homo sapiens,MM087T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,AAAB90237022B94A76D132EFF3BA16BA,71D2E66AA6FA8570E5DAFB23B2C8E476
SRR636565,2013-01-09 00:00:00,2012-12-19 05:29:30,31100588,6282318776,31100588,202,4160,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR000/636/SRR636565.sralite.1,SRX209099,,WXS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378955,SAMN01820449,simple,9606,Homo sapiens,MM133T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,DB7C3EBD516D701A2CACA992630A97E8,7844C75D5E6AC407A44354FA0A93B0BF
SRR636566,2013-01-09 00:00:00,2012-12-23 03:19:50,33366697,6740072794,33366697,202,4453,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR000/636/SRR636566.sralite.1,SRX209101,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378956,SAMN01820451,simple,9606,Homo sapiens,MM134T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,27105CC32674FFFA13C21474CDCE81C8,CBD0EDD7122C563A5849D910C693EA9B
SRR636567,2013-01-09 00:00:00,2012-12-28 10:00:49,27025778,5459207156,27025778,202,3814,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR000/636/SRR636567.sralite.1,SRX209102,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378957,SAMN01820453,simple,9606,Homo sapiens,MM138T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,9B461B4B6008B09D63E19DF1FB016048,B4F896CBF8BF24B0B5062130FAEBA535
SRR636568,2013-01-09 00:00:00,2012-12-22 18:22:57,19248308,3888158216,19248308,202,2700,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR000/636/SRR636568.sralite.1,SRX209103,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378958,SAMN01820455,simple,9606,Homo sapiens,MM150T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,A7669BFA7550D25AE31C5945FC3F35E6,BDB3C7BC1DEF54A554DD8C1373849FE8
SRR636558,2013-01-09 00:00:00,2012-12-22 18:16:07,27258459,5506208718,27258459,202,3639,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR000/636/SRR636558.sralite.1,SRX209093,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378948,SAMN01820428,simple,9606,Homo sapiens,MM055T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,46FD468FD1D78D815814EF26145C5CB1,195E9490F10FC214E1C5E5017FD39C85
SRR636560,2013-01-09 00:00:00,2012-12-19 04:48:38,30630208,4655791616,30630208,152,1810,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR000/636/SRR636560.sralite.1,SRX209094,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP017445,PRJNA182345,2,182345,SRS378949,SAMN01820430,simple,9606,Homo sapiens,MM056T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,CBA37D1892E6FF05AD41D43542218E6E,D1C1A2063649DB5804D8A5DE20AD4FB7
SRR636561,2013-01-09 00:00:00,2012-12-22 18:15:22,23359883,4718696366,23359883,202,3121,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR000/636/SRR636561.sralite.1,SRX209095,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378950,SAMN01820434,simple,9606,Homo sapiens,MM066T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,4619EF69A6DCACC58BECEC990F879C27,79DB1574AF918ADFDAA21C327DB2B870
SRR636562,2013-01-09 00:00:00,2012-12-28 14:02:42,31011669,4713773688,31011669,152,1849,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR000/636/SRR636562.sralite.1,SRX209096,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP017445,PRJNA182345,2,182345,SRS378952,SAMN01820436,simple,9606,Homo sapiens,MM070T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,D7871CA95530968CE290665B7F48A123,5112301B3B370DBBBB76D8FFD4AC177F
SRR636563,2013-01-09 00:00:00,2012-12-28 14:03:34,34523756,6973798712,34523756,202,4607,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR000/636/SRR636563.sralite.1,SRX209097,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378953,SAMN01820438,simple,9606,Homo sapiens,MM080T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,D56393E25490239AC5658BBCC94E35AC,996C466F2590D1F818DDC3DBB30EA2B8
